# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   3.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.648e-001, 1.169e+001 [nm]
#                      end        1.130e+000, 1.130e+001 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   0.0000000000000e+000              3.376327745817117e-011
   6.8699930112432e-013              3.375273302423669e-011
   1.3739986022486e-012              3.172029338336771e-011
   2.0609979033730e-012              3.248771108251020e-011
   2.7479972044973e-012              3.331343329870210e-011
   3.4349965056216e-012              3.454139465645304e-011
   4.1219958067459e-012              3.330273379956272e-011
   4.8089951078702e-012              3.230768037959962e-011
   5.4959944089946e-012              3.351982508644885e-011
   6.1829937101189e-012              3.419203274977128e-011
   6.8699930112432e-012              3.485896819612647e-011
   7.5569923123675e-012              3.493308936407759e-011
   8.2439916134919e-012              3.630386577555862e-011
   8.9309909146162e-012              3.368915629022004e-011
   9.6179902157405e-012              3.479011924514258e-011
   1.0304989516865e-011              3.332924994960381e-011
   1.0991988817989e-011              3.298516025988928e-011
   1.1678988119113e-011              3.374746080726946e-011
   1.2365987420238e-011              3.265704228628138e-011
   1.3052986721362e-011              3.813518584564810e-011
   1.3739986022486e-011              3.548884305850611e-011
   1.4426985323611e-011              3.390097536013894e-011
   1.5113984624735e-011              3.617686737273023e-011
   1.5800983925859e-011              3.458372745739583e-011
   1.6487983226984e-011              3.430321450169796e-011
   1.7174982528108e-011              3.482717982911815e-011
   1.7861981829232e-011              3.399618539595900e-011
   1.8548981130357e-011              3.307525314394703e-011
   1.9235980431481e-011              3.599683666981966e-011
   1.9922979732605e-011              3.498069438198762e-011
   2.0609979033730e-011              3.630913799252586e-011
   2.1296978334854e-011              3.369970072415451e-011
   2.1983977635978e-011              3.512878165268496e-011
   2.2670976937103e-011              3.335049388267767e-011
   2.3357976238227e-011              3.339282668362046e-011
   2.4044975539351e-011              3.470018142628975e-011
   2.4731974840476e-011              3.459427189133031e-011
   2.5418974141600e-011              3.431903115259967e-011
   2.6105973442724e-011              3.730419141248895e-011
   2.6792972743849e-011              3.484826869698709e-011
   2.7479972044973e-011              3.669556048318318e-011
   2.8166971346097e-011              3.525066290375102e-011
   2.8853970647222e-011              3.437733566964909e-011
   2.9540969948346e-011              3.545178247453054e-011
   3.0227969249470e-011              3.608150227170526e-011
   3.0914968550594e-011              3.517654173579990e-011
   3.1601967851719e-011              3.436663617050970e-011
   3.2288967152843e-011              3.754764378421126e-011
   3.2975966453967e-011              3.554172029338337e-011
   3.3662965755092e-011              3.434027508567352e-011
   3.4349965056216e-011              3.428724278559134e-011
   3.5036964357340e-011              3.579571709904014e-011
   3.5723963658465e-011              3.709779962474220e-011
   3.6410962959589e-011              3.443548512149359e-011
   3.7097962260713e-011              3.500705546682380e-011
   3.7784961561838e-011              3.612399013785297e-011
   3.8471960862962e-011              3.464714912620757e-011
   3.9158960164086e-011              3.498596659895486e-011
   3.9845959465211e-011              3.751601048240785e-011
   4.0532958766335e-011              3.311231372792259e-011
   4.1219958067459e-011              3.716137635875886e-011
   4.1906957368584e-011              3.588580998309789e-011
   4.2593956669708e-011              3.485896819612647e-011
   4.3280955970832e-011              3.423963776768131e-011
   4.3967955271957e-011              3.495417823194654e-011
   4.4654954573081e-011              3.398036874505730e-011
   4.5341953874205e-011              3.712431577478330e-011
   4.6028953175330e-011              3.593868721797516e-011
   4.6715952476454e-011              3.584332211695018e-011
   4.7402951777578e-011              3.540944967358774e-011
   4.8089951078703e-011              3.619268402363193e-011
   4.8776950379827e-011              3.447254570546915e-011
   4.9463949680951e-011              3.373148909116284e-011
   5.0150948982075e-011              3.567399091317900e-011
   5.0837948283200e-011              3.691792398703655e-011
   5.1524947584324e-011              3.384794306005676e-011
   5.2211946885448e-011              3.480593589604429e-011
   5.2898946186573e-011              3.718246522662780e-011
   5.3585945487697e-011              3.651025756330537e-011
   5.4272944788821e-011              3.710834405867668e-011
   5.4959944089946e-011              3.593341500100793e-011
   5.5646943391070e-011              3.316519096279986e-011
   5.6333942692194e-011              3.691249670486440e-011
   5.7020941993319e-011              3.718773744359503e-011
   5.7707941294443e-011              3.652622927941199e-011
   5.8394940595567e-011              3.464187690924034e-011
   5.9081939896692e-011              3.557350866039170e-011
   5.9768939197816e-011              3.549938749244057e-011
   6.0455938498940e-011              3.748949433236676e-011
   6.1142937800065e-011              3.467366527624867e-011
   6.1829937101189e-011              3.666377211617485e-011
   6.2516936402313e-011              3.460481632526477e-011
   6.3203935703438e-011              3.903502922979113e-011
   6.3890935004562e-011              3.409666764874630e-011
   6.4577934305686e-011              3.579571709904014e-011
   6.5264933606811e-011              3.696025678797935e-011
   6.5951932907935e-011              3.308579757788150e-011
   6.6638932209059e-011              3.576392873203182e-011
