# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -1.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.912e-001, 5.633e+000 [nm]
#                      end        1.657e-001, 4.078e-001 [nm]
# 
# 
#             Position                               I(r)
# --------------------             ----------------------
   0.000000000000e+000              2.35533191707113e-011
   5.225606666597e-012              2.33945324008746e-011
   1.045121333319e-011              2.21242382421808e-011
   1.567681999979e-011              2.03775837739770e-011
   2.090242666639e-011              2.59086045682209e-011
   2.612803333298e-011              1.45024732900185e-011
   3.135363999958e-011              2.79199553412210e-011
   3.657924666618e-011              2.35533191707113e-011
   4.180485333277e-011              2.32622617810789e-011
   4.703045999937e-011              1.68313976026919e-011
   5.225606666597e-011              2.35798353207524e-011
   5.748167333256e-011              2.30769588612011e-011
   6.270727999916e-011              2.46648265595683e-011
   6.793288666576e-011              2.98253965792616e-011
   7.315849333235e-011              2.48236133294050e-011
   7.838409999895e-011              2.69143574873234e-011
   8.360970666555e-011              1.37350555908760e-011
   8.883531333214e-011              2.58292111833026e-011
   9.406091999874e-011              2.40296794802214e-011
   9.928652666534e-011              2.34739257857929e-011
   1.045121333319e-010              2.47707360945277e-011
   1.097377399985e-010              1.86044131557320e-011
   1.149633466651e-010              1.83133557660996e-011
   1.201889533317e-010              1.90013800803238e-011
   1.254145599983e-010              2.27593853215277e-011
   1.306401666649e-010              2.17272713175891e-011
   1.358657733315e-010              1.78104793065484e-011
   1.410913799981e-010              3.19425018220162e-011
   1.463169866647e-010              1.43171703701406e-011
   1.515425933313e-010              2.74964722665881e-011
   1.567681999979e-010              2.21507543922219e-011
   1.619938066645e-010              2.32357456310379e-011
   1.672194133311e-010              2.44531625548543e-011
   1.724450199977e-010              2.22036316270992e-011
   1.776706266643e-010              3.27894679712819e-011
   1.828962333309e-010              1.91338057653243e-011
   1.881218399975e-010              3.08046333483230e-011
   1.933474466641e-010              2.07216734636915e-011
   1.985730533307e-010              2.46648265595683e-011
   2.037986599973e-010              2.05363705438137e-011
   2.090242666639e-010              2.75229884166292e-011
   2.142498733305e-010              2.85285862705268e-011
   2.194754799971e-010              2.46383104095272e-011
   2.247010866637e-010              2.62526942579355e-011
   2.299266933303e-010              1.92395602350789e-011
   2.351522999969e-010              2.38974088604258e-011
   2.403779066634e-010              2.90049465800369e-011
   2.456035133300e-010              1.39995968304672e-011
   2.508291199966e-010              2.12509110080789e-011
   2.560547266632e-010              2.67025384174045e-011
   2.612803333298e-010              2.33416551659973e-011
   2.665059399964e-010              2.98253965792616e-011
   2.717315466630e-010              2.38974088604258e-011
   2.769571533296e-010              2.83169222658128e-011
   2.821827599962e-010              1.77310859216300e-011
   2.874083666628e-010              2.76023818015476e-011
   2.926339733294e-010              1.89485028454465e-011
   2.978595799960e-010              2.60939074880987e-011
   3.030851866626e-010              1.86309293057731e-011
   3.083107933292e-010              1.97689528446712e-011
   3.135363999958e-010              2.36592287056707e-011
   3.187620066624e-010              2.19389353223030e-011
   3.239876133290e-010              2.41355890151809e-011
   3.292132199956e-010              2.59351207182620e-011
   3.344388266622e-010              1.63550372931818e-011
   3.396644333288e-010              2.87932825753229e-011
   3.448900399954e-010              2.24946890167315e-011
   3.501156466620e-010              2.10656080882011e-011
   3.553412533286e-010              2.21771154770581e-011
   3.605668599952e-010              2.97725193443843e-011
   3.657924666618e-010              2.01922808540991e-011
   3.710180733284e-010              2.77876847214254e-011
   3.762436799950e-010              2.37386220905891e-011
   3.814692866616e-010              2.60410302532215e-011
   3.866948933282e-010              1.77310859216300e-011
   3.919204999948e-010              2.87138891904046e-011
   3.971461066613e-010              2.47177037944456e-011
   4.023717133279e-010              2.11980337732016e-011
   4.075973199945e-010              3.04076664237312e-011
   4.128229266611e-010              2.41090728651398e-011
   4.180485333277e-010              2.50352773341190e-011
   4.232741399943e-010              2.56175471785886e-011
   4.284997466609e-010              2.17537874676301e-011
   4.337253533275e-010              2.67290545674456e-011
   4.389509599941e-010              2.11450014731194e-011
   4.441765666607e-010              2.42678596349765e-011
   4.494021733273e-010              3.37421885903022e-011
   4.546277799939e-010              2.01128874691808e-011
   4.598533866605e-010              2.14890911628340e-011
   4.650789933271e-010              2.57763339484253e-011
   4.703045999937e-010              2.06422800787731e-011
   4.755302066603e-010              2.51940641039557e-011
   4.807558133269e-010              2.74701111817519e-011
   4.859814199935e-010              2.07216734636915e-011
   4.912070266601e-010              2.69672347222007e-011
   4.964326333267e-010              2.54322442587108e-011
   5.016582399933e-010              1.91338057653243e-011
   5.068838466599e-010              2.44266464048132e-011
   5.121094533265e-010              2.29446882414055e-011
   5.173350599931e-010              2.43207368698538e-011
   5.225606666597e-010              2.58822434833848e-011
   5.277862733263e-010              2.31828683961606e-011
   5.330118799929e-010              2.17537874676301e-011
   5.382374866595e-010              2.08010668486098e-011
   5.434630933261e-010              2.97194870443021e-011
   5.486886999927e-010              1.91072896152832e-011
   5.539143066592e-010              1.93719859200794e-011
   5.591399133258e-010              2.31563522461195e-011
   5.643655199924e-010              1.70959388422832e-011
   5.695911266590e-010              2.42678596349765e-011
   5.748167333256e-010              1.97953139295074e-011
   5.800423399922e-010              2.83697995006900e-011
   5.852679466588e-010              1.65667012978958e-011
   5.904935533254e-010              2.15419683977112e-011
   5.957191599920e-010              2.77346524213432e-011
   6.009447666586e-010              1.49788335995286e-011
   6.061703733252e-010              1.93983470049156e-011
   6.113959799918e-010              2.52470964040379e-011
   6.166215866584e-010              2.42678596349765e-011
   6.218471933250e-010              1.46347439098141e-011
   6.270727999916e-010              3.54358107584239e-011
   6.322984066582e-010              1.75988153018344e-011
   6.375240133248e-010              2.40825567150987e-011
   6.427496199914e-010              2.20448448572625e-011
   6.479752266580e-010              2.01128874691808e-011
   6.532008333246e-010              1.28086960566918e-011
   6.584264399912e-010              1.94248631549567e-011
   6.636520466578e-010              1.40526291305494e-011
   6.688776533244e-010              2.67025384174045e-011
   6.741032599910e-010              5.26632448944781e-012
   6.793288666576e-010              1.95307726899161e-011
   6.845544733242e-010              1.45818666749368e-011
   6.897800799908e-010              2.02453131541813e-011
   6.950056866574e-010              9.76538634495805e-012
   7.002312933240e-010              1.86309293057731e-011
   7.054568999905e-010              2.34474096357518e-011
   7.106825066571e-010              7.19828187752950e-012
   7.159081133237e-010              1.42642931352634e-011
   7.211337199903e-010              1.03740172742638e-011
   7.263593266569e-010              1.55080711439160e-011
   7.315849333235e-010              1.19618849726310e-011
   7.368105399901e-010              1.44230799051001e-011
   7.420361466567e-010              1.25705159019368e-011
   7.472617533233e-010              9.50069004016189e-012
   7.524873599899e-010              5.90147156879468e-012
   7.577129666565e-010              3.33452216657104e-012
   7.629385733231e-010              1.27029415869373e-011
   7.681641799897e-010              1.00564437345904e-011
   7.733897866563e-010              1.30205151266107e-011
   7.786153933229e-010              9.89765696475368e-012
   7.838409999895e-010              4.92238986493821e-012
   7.890666066561e-010              1.07444680488145e-011
   7.942922133227e-010              1.06387135790600e-011
   7.995178199893e-010             -1.34968754361209e-012
   8.047434266559e-010              3.96966924591791e-012
   8.099690333225e-010              5.92798771883577e-012
   8.151946399891e-010              1.16177952829165e-011
   8.204202466557e-010              3.89027586099955e-012
   8.256458533223e-010              5.82207818387632e-012
   8.308714599889e-010              3.36088325140722e-012
   8.360970666555e-010             -8.73327234101940e-013
   8.413226733221e-010              2.06422800787731e-012
   8.465482799887e-010             -6.53661864814154e-012
   8.517738866553e-010             -1.06387135790600e-011
   8.569994933219e-010             -1.45544201336662e-012
   8.622250999884e-010             -1.57198902138349e-011
   8.674507066550e-010             -1.25441548171006e-011
   8.726763133216e-010             -9.60659957512134e-012
   8.779019199882e-010             -1.68313976026919e-011
   8.831275266548e-010             -1.62756439082634e-011
   8.883531333214e-010             -1.12208283583247e-011
   8.935787399880e-010             -2.27065080866504e-011
   8.988043466546e-010             -2.62792104079766e-011
   9.040299533212e-010             -2.57763339484253e-011
   9.092555599878e-010             -3.28688613562003e-011
   9.144811666544e-010             -3.33452216657104e-011
   9.197067733210e-010             -3.97495696940564e-011
   9.249323799876e-010             -3.50653599838732e-011
