# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -1.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      3.314e-001, 5.633e+000 [nm]
#                      end        3.186e-001, 2.014e+000 [nm]
# 
# 
#             Position                               I(r)
# --------------------             ----------------------
   0.000000000000e+000              1.79692660763851e-011
   3.619667893866e-012              2.35004419358340e-011
   7.239335787732e-012              2.45854331746499e-011
   1.085900368160e-011              2.16743940827118e-011
   1.447867157546e-011              2.08274279334460e-011
   1.809833946933e-011              2.40296794802214e-011
   2.171800736320e-011              1.94248631549567e-011
   2.533767525706e-011              2.13568205430383e-011
   2.895734315093e-011              2.18860580874258e-011
   3.257701104480e-011              2.94813068895471e-011
   3.619667893866e-011              1.43436865201817e-011
   3.981634683253e-011              2.55646699437113e-011
   4.343601472639e-011              2.65967839476500e-011
   4.705568262026e-011              2.28387787064461e-011
   5.067535051413e-011              2.73376854967514e-011
   5.429501840799e-011              1.91072896152832e-011
   5.791468630186e-011              1.47141372947324e-011
   6.153435419573e-011              2.07745506985688e-011
   6.515402208959e-011              2.46913427096094e-011
   6.877368998346e-011              2.51677030191195e-011
   7.239335787732e-011              1.93983470049156e-011
   7.601302577119e-011              2.08010668486098e-011
   7.963269366506e-011              1.92925925351610e-011
   8.325236155892e-011              2.25212051667726e-011
   8.687202945279e-011              2.62526942579355e-011
   9.049169734666e-011              1.61962505233451e-011
   9.411136524052e-011              1.88691094605282e-011
   9.773103313439e-011              1.39995968304672e-011
   1.013507010283e-010              2.96400936593838e-011
   1.049703689221e-010              2.09598536184466e-011
   1.085900368160e-010              2.75495045666703e-011
   1.122097047099e-010              2.75758656515065e-011
   1.158293726037e-010              1.87103226906914e-011
   1.194490404976e-010              2.43737691699360e-011
   1.230687083915e-010              2.00600102343035e-011
   1.266883762853e-010              2.16743940827118e-011
   1.303080441792e-010              1.97424366946301e-011
   1.339277120731e-010              2.97460031943432e-011
   1.375473799669e-010              2.05628866938548e-011
   1.411670478608e-010              2.46913427096094e-011
   1.447867157546e-010              1.97689528446712e-011
   1.484063836485e-010              2.15950006977934e-011
   1.520260515424e-010              2.83434384158539e-011
   1.556457194362e-010              1.57198902138349e-011
   1.592653873301e-010              2.43737691699360e-011
   1.628850552240e-010              2.38708927103847e-011
   1.665047231178e-010              2.65702677976089e-011
   1.701243910117e-010              2.07216734636915e-011
