# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      2.718e+001, -9.000e-001 [nm]
#                      end        1.074e+001, -1.278e+001 [nm]
# 
# 
#            Position                              I(r)
# -------------------             ---------------------
   0.00000000000e+000             -1.0160042797997e-010
   1.01415975073e-010             -5.6325729969452e-011
   2.02831950146e-010             -1.6621284250027e-011
   3.04247925219e-010              8.3950751290918e-012
   4.05663900292e-010              2.2073842050582e-011
   5.07079875365e-010              3.1370621346276e-011
   6.08495850438e-010              3.4305540479772e-011
   7.09911825511e-010              3.6536308517732e-011
   8.11327800584e-010              3.6192994154042e-011
   9.12743775657e-010              3.5499077362031e-011
   1.01415975073e-009              3.4546356743010e-011
   1.11557572580e-009              3.2656266960257e-011
   1.21699170088e-009              2.9129619004792e-011
   1.31840767595e-009              2.7129432926546e-011
   1.41982365102e-009              2.6945060397897e-011
   1.52123962609e-009              2.7436772162694e-011
   1.62265560117e-009              2.9767247127417e-011
   1.72407157624e-009              3.2830405185380e-011
   1.82548755131e-009              3.5278729705841e-011
   1.92690352639e-009              3.5086603916947e-011
   2.02831950146e-009              3.7243095721751e-011
   2.12973547653e-009              3.7765510397122e-011
   2.23115145161e-009              3.7870644606057e-011
   2.33256742668e-009              3.7068957496627e-011
   2.43398340175e-009              3.6710446742855e-011
   2.53539937682e-009              3.7942284730729e-011
   2.63681535190e-009              3.7491510180031e-011
   2.73823132697e-009              3.7614476887531e-011
   2.83964730204e-009              3.7768146505606e-011
   2.94106327712e-009              3.7038254586053e-011
   3.04247925219e-009              3.7675882708679e-011
   3.14389522726e-009              3.7015149870521e-011
   3.24531120233e-009              3.8421126083518e-011
   3.34672717741e-009              3.7640062646343e-011
   3.44814315248e-009              3.7340476670440e-011
   3.54955912755e-009              3.7576020716711e-011
   3.65097510263e-009              3.6917923987037e-011
   3.75239107770e-009              3.8070368589992e-011
   3.85380705277e-009              3.6864116360930e-011
   3.95522302785e-009              3.7614476887531e-011
   4.05663900292e-009              3.8144644823148e-011
   4.15805497799e-009              3.7453054009211e-011
   4.25947095306e-009              3.6966459396176e-011
   4.36088692814e-009              3.8628603327699e-011
   4.46230290321e-009              3.7645179798105e-011
   4.56371887828e-009              3.7378777776055e-011
   4.66513485336e-009              3.6815425886585e-011
   4.76655082843e-009              3.8149761974910e-011
   4.86796680350e-009              3.8244506815116e-011
   4.96938277858e-009              3.8556963203027e-011
   5.07079875365e-009              3.8743971840159e-011
   5.17221472872e-009              3.8372590674379e-011
   5.27363070379e-009              3.7250848981997e-011
   5.37504667887e-009              3.7637581603064e-011
   5.47646265394e-009              3.7588891128720e-011
   5.57787862901e-009              3.8772038642249e-011
   5.67929460409e-009              3.7348074865481e-011
   5.78071057916e-009              3.8436632604010e-011
   5.88212655423e-009              3.7414752903596e-011
   5.98354252930e-009              3.7783497960893e-011
   6.08495850438e-009              3.6589961078634e-011
   6.18637447945e-009              3.8907875761758e-011
   6.28779045452e-009              3.7458171160973e-011
   6.38920642960e-009              3.7471041572981e-011
   6.49062240467e-009              3.7258447177038e-011
   6.59203837974e-009              3.7558188218146e-011
   6.69345435482e-009              3.7768146505606e-011
   6.79487032989e-009              3.6472266588100e-011
   6.89628630496e-009              3.7960272294500e-011
   6.99770228003e-009              3.6689978135806e-011
   7.09911825511e-009              3.7494146288514e-011
   7.20053423018e-009              3.6423576113756e-011
   7.30195020525e-009              3.8313665896509e-011
   7.40336618033e-009              3.7266200437284e-011
   7.50478215540e-009              3.7476158724744e-011
   7.60619813047e-009              3.7314890911628e-011
   7.70761410555e-009              3.6894819271504e-011
   7.80903008062e-009              3.8500519468436e-011
   7.91044605569e-009              3.6451797981051e-011
   8.01186203076e-009              3.6974212656422e-011
   8.11327800584e-009              3.7304501542899e-011
   8.21469398091e-009              3.7634945494580e-011
   8.31610995598e-009              3.8208686752780e-011
   8.41752593106e-009              3.6469630479617e-011
   8.51894190613e-009              3.7066321388144e-011
   8.62035788120e-009              3.7837305586999e-011
   8.72177385627e-009              3.7868008497573e-011
   8.82318983135e-009              3.7391648188063e-011
   8.92460580642e-009              3.7573539673433e-011
   9.02602178149e-009              3.7465924421219e-011
   9.12743775657e-009              3.6244320736870e-011
   9.22885373164e-009              3.7596489323761e-011
   9.33026970671e-009              3.8277845834173e-011
   9.43168568179e-009              3.7332723410194e-011
   9.53310165686e-009              3.7071438539906e-011
   9.63451763193e-009              3.8172711625238e-011
   9.73593360700e-009              3.6956225092651e-011
   9.83734958208e-009              3.7115011862488e-011
   9.93876555715e-009              3.7017785979004e-011
   1.00401815322e-008              3.7145714773062e-011
   1.01415975073e-008              3.7286669044333e-011
   1.02430134824e-008              3.7243095721751e-011
   1.03444294574e-008              3.6692459179085e-011
   1.04458454325e-008              3.7599125432244e-011
   1.05472614076e-008              3.7291786196095e-011
   1.06486773827e-008              3.7570903564949e-011
   1.07500933577e-008              3.6454279024330e-011
   1.08515093328e-008              3.7325125215153e-011
   1.09529253079e-008              3.6746266805192e-011
   1.10543412830e-008              3.6305726558018e-011
   1.11557572580e-008              3.7478794833227e-011
   1.12571732331e-008              3.7015149870521e-011
   1.13585892082e-008              3.8147125866427e-011
   1.14600051832e-008              3.6336429468592e-011
   1.15614211583e-008              3.7663167361876e-011
   1.16628371334e-008              3.6469630479617e-011
   1.17642531085e-008              3.7980740901549e-011
   1.18656690835e-008              3.6472266588100e-011
   1.19670850586e-008              3.8044782831181e-011
   1.20685010337e-008              3.7299384391136e-011
   1.21699170088e-008              3.7112530819209e-011
   1.22713329838e-008              3.7693870272450e-011
   1.23727489589e-008              3.7801485524663e-011
   1.24741649340e-008              3.6712927786134e-011
   1.25755809090e-008              3.7058723193103e-011
   1.26769968841e-008              3.6456915132813e-011
   1.27784128592e-008              3.8421126083518e-011
   1.28798288343e-008              3.8016560963885e-011
   1.29812448093e-008              3.6769371520724e-011
   1.30826607844e-008              3.6789840127774e-011
   1.31840767595e-008              3.7614476887531e-011
   1.32854927346e-008              3.7806602676425e-011
   1.33869087096e-008              3.8119059064337e-011
   1.34883246847e-008              3.8147125866427e-011
   1.35897406598e-008              3.6797438322815e-011
   1.36911566349e-008              3.7496627331793e-011
   1.37925726099e-008              3.7366062429252e-011
   1.38939885850e-008              3.7353192017243e-011
   1.39954045601e-008              3.6989564111709e-011
   1.40968205351e-008              3.7202158507652e-011
   1.41982365102e-008              3.6226333173099e-011
   1.42996524853e-008              3.7829552326753e-011
   1.44010684604e-008              3.7332723410194e-011
   1.45024844354e-008              3.6080416815271e-011
   1.46039004105e-008              3.7204639550931e-011
   1.47053163856e-008              3.6500333390191e-011
   1.48067323607e-008              3.7844903782040e-011
   1.49081483357e-008              3.6610584750888e-011
   1.50095643108e-008              3.7161221293554e-011
   1.51109802859e-008              3.6874350664454e-011
   1.52123962609e-008              3.7309618694661e-011
   1.53138122360e-008              3.8344368807083e-011
   1.54152282111e-008              3.7724573183023e-011
   1.55166441862e-008              3.7437702553924e-011
   1.56180601612e-008              3.7271317589046e-011
   1.57194761363e-008              3.8523624183969e-011
   1.58208921114e-008              3.6912651770069e-011
   1.59223080865e-008              3.6963978352897e-011
   1.60237240615e-008              3.6928158290561e-011
   1.61251400366e-008              3.7191924204128e-011
   1.62265560117e-008              3.8300795484501e-011
   1.63279719867e-008              3.7314890911628e-011
   1.64293879618e-008              3.6700212439331e-011
   1.65308039369e-008              3.7442819705686e-011
   1.66322199120e-008              3.7156104141792e-011
   1.67336358870e-008              3.7780861852409e-011
   1.68350518621e-008              3.6910170726791e-011
   1.69364678372e-008              3.7309618694661e-011
   1.70378838123e-008              3.7724573183023e-011
   1.71392997873e-008              3.7727209291507e-011
   1.72407157624e-008              3.7926933275442e-011
   1.73421317375e-008              3.7355828125727e-011
   1.74435477125e-008              3.6805191583061e-011
   1.75449636876e-008              3.7532447394129e-011
   1.76463796627e-008              3.8334134503559e-011
   1.77477956378e-008              3.6830777341872e-011
   1.78492116128e-008              3.7401882491588e-011
   1.79506275879e-008              3.7189288095644e-011
   1.80520435630e-008              3.7586255020236e-011
   1.81534595381e-008              3.7947401882492e-011
   1.82548755131e-008              3.7043371737816e-011
   1.83562914882e-008              3.7079191800152e-011
   1.84577074633e-008              3.7839786630278e-011
   1.85591234384e-008              3.7299384391136e-011
   1.86605394134e-008              3.7658050210113e-011
   1.87619553885e-008              3.6833258385151e-011
   1.88633713636e-008              3.7268681480563e-011
   1.89647873386e-008              3.8085720045279e-011
   1.90662033137e-008              3.6618182945929e-011
   1.91676192888e-008              3.6597714338879e-011
   1.92690352639e-008              3.6679743832281e-011
   1.93704512389e-008              3.6705329591093e-011
   1.94718672140e-008              3.6856363100684e-011
   1.95732831891e-008              3.7791251221138e-011
   1.96746991642e-008              3.6651521964986e-011
   1.97761151392e-008              3.7796368372901e-011
   1.98775311143e-008              3.8349485958846e-011
