# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.125e+000, 1.475e+000 [nm]
#                      end        -2.850e+000, 5.775e+000 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000              7.25258571229e-010
   4.485044592866e-012              7.59133030439e-010
   8.970089185733e-012              7.54739878119e-010
   1.345513377860e-011              7.47409325621e-010
   1.794017837147e-011              7.59397726744e-010
   2.242522296433e-011              7.47991440401e-010
   2.691026755720e-011              7.41057854828e-010
   3.139531215006e-011              7.50055668409e-010
   3.588035674293e-011              7.28778241250e-010
   4.036540133580e-011              7.28301880941e-010
   4.485044592866e-011              7.25152661694e-010
   4.933549052153e-011              7.47462202856e-010
   5.382053511440e-011              4.58761339143e-010
   5.830557970726e-011              4.50213369722e-010
   6.279062430013e-011              4.40818434152e-010
   6.727566889300e-011              4.40077532602e-010
   7.176071348586e-011              4.37113461210e-010
   7.624575807873e-011              4.29332909488e-010
   8.073080267159e-011              4.32852734575e-010
   8.521584726446e-011              4.20837817302e-010
   8.970089185733e-011              4.19805703298e-010
   9.418593645019e-011              4.30973654422e-010
   9.867098104306e-011              4.29332909488e-010
   1.031560256359e-010              4.35446200127e-010
   1.076410702288e-010              4.81494363380e-010
   1.121261148217e-010              5.10975825335e-010
   1.166111594145e-010              5.11240366574e-010
   1.210962040074e-010              5.11743243034e-010
   1.255812486003e-010              5.14363224736e-010
   1.300662931931e-010              5.22170292608e-010
   1.345513377860e-010              4.90836266650e-010
   1.390363823789e-010              4.41956457690e-010
   1.435214269717e-010              4.50319279257e-010
   1.480064715646e-010              4.48228535099e-010
   1.524915161575e-010              4.61063747306e-010
   1.569765607503e-010              4.56141357441e-010
   1.614616053432e-010              4.50451549877e-010
   1.659466499361e-010              4.65165842237e-010
   1.704316945289e-010              4.62334041464e-010
   1.749167391218e-010              4.66303710710e-010
   1.794017837147e-010              4.67309463629e-010
   1.838868283075e-010              4.72840484424e-010
   1.883718729004e-010              4.72919877809e-010
   1.928569174933e-010              4.78345144133e-010
   1.973419620861e-010              4.68844299028e-010
   2.018270066790e-010              4.67071283475e-010
   2.063120512719e-010              4.66965373940e-010
   2.107970958647e-010              4.56406053746e-010
   2.152821404576e-010              4.54024252198e-010
   2.197671850505e-010              4.60772689916e-010
   2.242522296433e-010              4.58734978058e-010
   2.287372742362e-010              4.57623470669e-010
   2.332223188291e-010              4.56697111135e-010
   2.377073634219e-010              4.46799454170e-010
