# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -5.225e+000, 2.250e-001 [nm]
#                      end        5.250e-001, -3.500e-001 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              7.314247391028e-010
   5.778678482145e-012              7.414283056025e-010
   1.155735696429e-011              7.488118903999e-010
   1.733603544643e-011              7.368500054273e-010
   2.311471392858e-011              7.514583882523e-010
   2.889339241072e-011              7.225591961420e-010
   3.467207089287e-011              7.506644544031e-010
   4.045074937501e-011              7.594506039790e-010
   4.622942785716e-011              7.757527640373e-010
   5.200810633930e-011              7.722858161857e-010
   5.778678482145e-011              7.856504210020e-010
   6.356546330359e-011              7.935632433438e-010
   6.934414178573e-011              8.216950177550e-010
   7.512282026788e-011              8.271731613143e-010
   8.090149875002e-011              8.250824171564e-010
   8.668017723217e-011              8.197630603669e-010
   9.245885571431e-011              8.175930778893e-010
   9.823753419646e-011              8.231769759184e-010
   1.040162126786e-010              8.157139977360e-010
   1.097948911607e-010              8.496680053963e-010
   1.155735696429e-010              8.283375459381e-010
   1.213522481250e-010              8.387911116625e-010
   1.271309266072e-010              8.320426739444e-010
   1.329096050893e-010              8.228594023787e-010
   1.386882835715e-010              7.894084262432e-010
   1.444669620536e-010              8.013968273659e-010
   1.502456405358e-010              7.921078013305e-010
   1.560243190179e-010              7.854387569973e-010
   1.618029975000e-010              7.842742173084e-010
   1.675816759822e-010              7.850417900727e-010
   1.733603544643e-010              7.749851912729e-010
   1.791390329465e-010              7.880322225496e-010
   1.849177114286e-010              7.754351904976e-010
   1.906963899108e-010              7.645846578486e-010
   1.964750683929e-010              7.804898509823e-010
   2.022537468751e-010              7.759379118920e-010
   2.080324253572e-010              7.775788118904e-010
   2.138111038393e-010              7.717830947914e-010
   2.195897823215e-010              7.619383150615e-010
   2.253684608036e-010              8.020848516801e-010
   2.311471392858e-010              7.759379118920e-010
   2.369258177679e-010              8.081716261688e-010
   2.427044962501e-010              5.553036952038e-010
   2.484831747322e-010              6.471618415544e-010
   2.542618532144e-010              8.093361658577e-010
   2.600405316965e-010              8.182017088186e-010
   2.658192101786e-010              8.312487400952e-010
   2.715978886608e-010              8.262469568454e-010
   2.773765671429e-010              8.438192559971e-010
   2.831552456251e-010              8.155552109662e-010
   2.889339241072e-010              8.428930515282e-010
   2.947126025894e-010              8.440045589170e-010
   3.004912810715e-010              8.512822341795e-010
   3.062699595537e-010              8.722157267131e-010
   3.120486380358e-010              7.233531299912e-010
   3.178273165179e-010              7.476475057762e-010
   3.236059950001e-010              8.707336134845e-010
   3.293846734822e-010              8.604389895951e-010
   3.351633519644e-010              8.287875451627e-010
   3.409420304465e-010              8.400614058211e-010
   3.467207089287e-010              8.595921785111e-010
   3.524993874108e-010              8.578718851277e-010
   3.582780658930e-010              8.595656623610e-010
   3.640567443751e-010              8.475772612384e-010
   3.698354228572e-010              8.269614973096e-010
   3.756141013394e-010              8.055516444665e-010
   3.813927798215e-010              7.877146490099e-010
   3.871714583037e-010              8.005763773667e-010
   3.929501367858e-010              7.871323791654e-010
   3.987288152680e-010              7.822099893005e-010
   4.045074937501e-010              7.865237482361e-010
   4.102861722323e-010              7.346533517344e-010
   4.160648507144e-010              7.807015149871e-010
   4.218435291966e-010              7.809396951418e-010
   4.276222076787e-010              7.805163671324e-010
   4.334008861608e-010              7.666488858565e-010
   4.391795646430e-010              7.914196219510e-010
   4.449582431251e-010              8.040696863031e-010
   4.507369216073e-010              8.139938594179e-010
   4.565156000894e-010              8.084628386236e-010
   4.622942785716e-010              8.444280419917e-010
   4.680729570537e-010              8.479742281629e-010
   4.738516355359e-010              8.376265719735e-010
   4.796303140180e-010              8.323072151840e-010
   4.854089925001e-010              8.408288235203e-010
   4.911876709823e-010              8.326247887237e-010
   4.969663494644e-010              8.389233822822e-010
   5.027450279466e-010              8.438986493821e-010
   5.085237064287e-010              8.496414892462e-010
   5.143023849109e-010              8.486622524772e-010
   5.200810633930e-010              8.466774178542e-010
   5.258597418752e-010              8.373355145839e-010
   5.316384203573e-010              8.393468653569e-010
   5.374170988394e-010              8.453013692258e-010
   5.431957773216e-010              8.521820775636e-010
   5.489744558037e-010              8.433959279877e-010
   5.547531342859e-010              8.260087766906e-010
   5.605318127680e-010              8.212715346803e-010
   5.663104912502e-010              7.919224984106e-010
   5.720891697323e-010              8.175136845043e-010
   5.778678482145e-010              8.194720029773e-010
   5.836465266966e-010              8.239445486827e-010
   5.894252051787e-010              8.013703112159e-010
   5.952038836609e-010              7.967920110406e-010
   6.009825621430e-010              7.962891345811e-010
   6.067612406252e-010              8.016878847555e-010
   6.125399191073e-010              7.875823783901e-010
   6.183185975895e-010              7.772875994356e-010
   6.240972760716e-010              7.907315976368e-010
   6.298759545538e-010              7.906787204019e-010
   6.356546330359e-010              8.235210656081e-010
   6.414333115180e-010              8.191279132875e-010
   6.472119900002e-010              8.168255051249e-010
   6.529906684823e-010              8.324131247189e-010
   6.587693469645e-010              8.587452123618e-010
   6.645480254466e-010              6.803482764502e-010
   6.703267039288e-010              8.809224829041e-010
   6.761053824109e-010              6.410750670657e-010
   6.818840608931e-010              9.147705810293e-010
   6.876627393752e-010              9.232656732156e-010
   6.934414178573e-010              9.654764378421e-010
   6.992200963395e-010              9.942168431826e-010
   7.049987748216e-010              9.798995177472e-010
   7.107774533038e-010              1.044208159531e-009
   7.165561317859e-010              8.036727193785e-010
   7.223348102681e-010              1.046881173533e-009
   7.281134887502e-010              1.078029741506e-009
   7.338921672324e-010              1.015044426181e-009
   7.396708457145e-010              1.003399959683e-009
   7.454495241966e-010              1.017082138039e-009
   7.512282026788e-010              1.173857557103e-009
   7.570068811609e-010              9.336925677247e-010
   7.627855596431e-010              1.024836173611e-009
   7.685642381252e-010              1.170840608476e-009
   7.743429166074e-010              9.833928266836e-010
   7.801215950895e-010              1.199448743197e-009
   7.859002735717e-010              1.222552218208e-009
   7.916789520538e-010              1.325049078137e-009
   7.974576305359e-010              9.824666222146e-010
   8.032363090181e-010              1.368186202298e-009
   8.090149875002e-010              9.664291584611e-010
   8.147936659824e-010              1.441704476732e-009
   8.205723444645e-010              1.282626494441e-009
   8.263510229467e-010              8.147877932671e-010
   8.321297014288e-010              1.408518041837e-009
   8.379083799110e-010              1.448770487990e-009
   8.436870583931e-010              1.178647676348e-009
   8.494657368752e-010              1.005517219991e-009
   8.552444153574e-010              1.323540603824e-009
   8.610230938395e-010              1.520330288886e-009
   8.668017723217e-010              1.730696397835e-009
   8.725804508038e-010              1.548567972833e-009
   8.783591292860e-010              1.688988354603e-009
   8.841378077681e-010              1.512126409155e-009
   8.899164862503e-010              1.132334816790e-009
   8.956951647324e-010              1.666837600211e-009
   9.014738432145e-010              1.972184558607e-009
   9.072525216967e-010              1.583765603436e-009
   9.130312001788e-010              1.479045728729e-009
   9.188098786610e-010              1.224113569756e-009
   9.245885571431e-010              1.915868132550e-009
   9.303672356253e-010              1.375993115105e-009
   9.361459141074e-010              1.937251469243e-009
   9.419245925896e-010              1.971258354138e-009
   9.477032710717e-010              2.019767712323e-009
   9.534819495538e-010              1.788494782056e-009
   9.592606280360e-010              1.956755725783e-009
   9.650393065181e-010              2.103660004032e-009
   9.708179850003e-010              1.551479011925e-009
   9.765966634824e-010              1.434003318395e-009
   9.823753419646e-010              1.400155220270e-009
   9.881540204467e-010              1.422676425437e-009
   9.939326989289e-010              1.807257981981e-009
   9.997113774110e-010              2.019635286638e-009
   1.005490055893e-009              1.488996417994e-009
   1.011268734375e-009              1.713785606848e-009
   1.017047412857e-009              1.435167703019e-009
   1.022826091340e-009              2.016195010002e-009
   1.028604769822e-009              1.913830420692e-009
   1.034383448304e-009              1.952997875607e-009
   1.040162126786e-009              1.923728077657e-009
   1.045940805268e-009              1.889483167672e-009
   1.051719483750e-009              1.785239653274e-009
   1.057498162232e-009              1.794872613934e-009
   1.063276840715e-009              1.541343174805e-009
   1.069055519197e-009              1.909781358061e-009
   1.074834197679e-009              1.840550326412e-009
   1.080612876161e-009              1.539199553412e-009
   1.086391554643e-009              1.673638915164e-009
   1.092170233125e-009              1.540072880646e-009
   1.097948911607e-009              1.701664780040e-009
   1.103727590090e-009              1.962366295027e-009
   1.109506268572e-009              1.843540758889e-009
   1.115284947054e-009              1.753058816232e-009
   1.121063625536e-009              1.779761509715e-009
   1.126842304018e-009              1.510459148072e-009
   1.132620982500e-009              1.679434632263e-009
   1.138399660982e-009              1.554284296547e-009
   1.144178339465e-009              1.506198266371e-009
   1.149957017947e-009              1.475684845478e-009
   1.155735696429e-009              1.474493944704e-009
   1.161514374911e-009              1.703649614663e-009
   1.167293053393e-009              1.602555474577e-009
   1.173071731875e-009              1.733925010467e-009
   1.178850410357e-009              1.376787048954e-009
   1.184629088840e-009              1.319650327963e-009
   1.190407767322e-009              1.463405231900e-009
   1.196186445804e-009              1.440037215649e-009
   1.201965124286e-009              1.361702305820e-009
   1.207743802768e-009              1.716564375320e-009
   1.213522481250e-009              1.691184853231e-009
   1.219301159732e-009              1.336587635101e-009
   1.225079838215e-009              1.396423731179e-009
   1.230858516697e-009              1.508024314224e-009
   1.236637195179e-009              1.271828994092e-009
   1.242415873661e-009              1.155385414567e-009
   1.248194552143e-009              1.297393664036e-009
   1.253973230625e-009              1.356303555645e-009
   1.259751909108e-009              1.321979252276e-009
   1.265530587590e-009              1.281276806897e-009
   1.271309266072e-009              1.122463675976e-009
   1.277087944554e-009              1.115794631643e-009
   1.282866623036e-009              1.152315588705e-009
   1.288645301518e-009              1.122490037061e-009
   1.294423980000e-009              1.214480609096e-009
   1.300202658483e-009              1.335899455721e-009
   1.305981336965e-009              1.110131185163e-009
   1.311760015447e-009              1.086048473383e-009
   1.317538693929e-009              1.070407976554e-009
   1.323317372411e-009              1.115318271333e-009
   1.329096050893e-009              1.238060444417e-009
   1.334874729375e-009              1.204397649211e-009
   1.340653407858e-009              1.269950069004e-009
   1.346432086340e-009              1.211648808324e-009
   1.352210764822e-009              1.209134736157e-009
