# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -5.075e+000, -8.750e-001 [nm]
#                      end        -2.000e-001, 2.975e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              5.864259020918e-010
   6.211934078852e-012              5.985730899843e-010
   1.242386815770e-011              5.930949464250e-010
   1.863580223656e-011              5.847057637737e-010
   2.484773631541e-011              5.831444122253e-010
   3.105967039426e-011              5.848380343935e-010
   3.727160447311e-011              5.769780892865e-010
   4.348353855196e-011              5.835413791499e-010
   4.969547263081e-011              5.706531346431e-010
   5.590740670967e-011              5.701502581836e-010
   6.211934078852e-011              5.754961311231e-010
   6.833127486737e-011              5.796774643738e-010
   7.454320894622e-011              5.818476019166e-010
   8.075514302507e-011              5.691446603297e-010
   8.696707710392e-011              5.927244956504e-010
   9.317901118278e-011              5.989171796741e-010
   9.939094526163e-011              6.134990463490e-010
   1.056028793405e-010              6.212532369862e-010
   1.118148134193e-010              6.729912078029e-010
   1.180267474982e-010              6.671689745538e-010
   1.242386815770e-010              6.976560343624e-010
   1.304506156559e-010              6.711916760998e-010
   1.366625497347e-010              6.837887081518e-010
   1.428744838136e-010              6.734940842624e-010
   1.490864178924e-010              7.003554094497e-010
   1.552983519713e-010              6.842121912264e-010
   1.615102860501e-010              7.118145730280e-010
   1.677222201290e-010              6.807982756749e-010
   1.739341542078e-010              6.991645086759e-010
   1.801460882867e-010              7.141169811906e-010
   1.863580223656e-010              7.343888104948e-010
   1.925699564444e-010              7.066274868582e-010
   1.987818905233e-010              6.891345810913e-010
   2.049938246021e-010              6.984764843617e-010
   2.112057586810e-010              7.433337468405e-010
   2.174176927598e-010              7.007523763743e-010
   2.236296268387e-010              7.003290483648e-010
   2.298415609175e-010              6.890815487913e-010
   2.360534949964e-010              7.003290483648e-010
   2.422654290752e-010              6.776489013630e-010
   2.484773631541e-010              6.762728527346e-010
   2.546892972329e-010              6.782576873575e-010
   2.609012313118e-010              6.965181658888e-010
