# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     1.800e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.850e+000, -5.000e-001 [nm]
#                      end        -1.000e-001, 3.500e+000 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000              4.2607778070679e-010
   6.209871174187e-012              4.2642187039650e-010
   1.241974234837e-011              4.2920063886864e-010
   1.862961352256e-011              4.2499278946797e-010
   2.483948469675e-011              4.2925351610352e-010
   3.104935587094e-011              4.3481105304781e-010
   3.725922704512e-011              4.6299570469382e-010
   4.346909821931e-011              4.4886368217836e-010
   4.967896939350e-011              4.4928716525299e-010
   5.588884056768e-011              4.7527516320613e-010
   6.209871174187e-011              4.5561211989642e-010
   6.830858291606e-011              4.8313510831305e-010
   7.451845409025e-011              4.8292344430833e-010
   8.072832526443e-011              4.7006171595156e-010
   8.693819643862e-011              4.7789514490843e-010
   9.314806761281e-011              4.8043573322582e-010
   9.935793878699e-011              4.7895377506241e-010
   1.055678099612e-010              4.9485896819613e-010
   1.117776811354e-010              4.8686659740421e-010
   1.179875523096e-010              4.9636744250958e-010
   1.241974234837e-010              4.9491184543100e-010
   1.304072946579e-010              4.9877560514196e-010
   1.366171658321e-010              4.9467366527625e-010
   1.428270370063e-010              5.1550124827490e-010
   1.490369081805e-010              4.9094217618509e-010
   1.552467793547e-010              4.9874924405713e-010
   1.614566505289e-010              4.9004233280094e-010
   1.676665217031e-010              4.9197429018902e-010
   1.738763928772e-010              5.0613282885453e-010
   1.800862640514e-010              4.9390624757711e-010
   1.862961352256e-010              5.0676797593388e-010
   1.925060063998e-010              5.0830281133217e-010
   1.987158775740e-010              5.0941431872102e-010
   2.049257487482e-010              5.0083983314984e-010
   2.111356199224e-010              4.9380033804215e-010
   2.173454910965e-010              4.8485540169641e-010
   2.235553622707e-010              4.9702895067376e-010
   2.297652334449e-010              5.2058242490967e-010
   2.359751046191e-010              5.3249143264743e-010
   2.421849757933e-010              5.3082417156414e-010
   2.483948469675e-010              5.1010249810045e-010
   2.546047181417e-010              5.2701328908806e-010
   2.608145893159e-010              5.1348989750190e-010
   2.670244604900e-010              5.4053652560902e-010
   2.732343316642e-010              5.3778427328692e-010
   2.794442028384e-010              5.2320240661198e-010
   2.856540740126e-010              6.0844438586426e-010
   2.918639451868e-010              5.6062305199336e-010
   2.980738163610e-010              5.6776845663602e-010
   3.042836875352e-010              5.5059312440881e-010
   3.104935587094e-010              5.6747739924638e-010
   3.167034298835e-010              5.6940935663446e-010
   3.229133010577e-010              5.7872474375475e-010
   3.291231722319e-010              5.6663058816232e-010
   3.353330434061e-010              5.7565491789297e-010
   3.415429145803e-010              5.5591248119834e-010
   3.477527857545e-010              5.5104296856828e-010
   3.539626569287e-010              5.5824125044581e-010
   3.601725281029e-010              5.4683511916761e-010
   3.663823992770e-010              5.5768549675138e-010
   3.725922704512e-010              5.7925413636434e-010
   3.788021416254e-010              5.5326598334600e-010
   3.850120127996e-010              5.6821845586069e-010
   3.912218839738e-010              5.6186698506722e-010
