# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     1.800e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.550e+000, 1.475e+000 [nm]
#                      end        -1.125e+000, 5.050e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              4.836908620075e-010
   4.950883759492e-012              4.719671571896e-010
   9.901767518984e-012              4.751163764363e-010
   1.485265127848e-011              4.800387663012e-010
   1.980353503797e-011              4.826587480035e-010
   2.475441879746e-011              4.727876071888e-010
   2.970530255695e-011              4.709615593357e-010
   3.465618631644e-011              4.702733799563e-010
   3.960707007593e-011              4.522510815798e-010
   4.455795383543e-011              4.549240955822e-010
   4.950883759492e-011              4.649540231667e-010
   5.445972135441e-011              4.862844826249e-010
   5.941060511390e-011              4.616725333003e-010
   6.436148887339e-011              4.398393524477e-010
   6.931237263289e-011              4.879517437082e-010
   7.426325639238e-011              4.931917071128e-010
   7.921414015187e-011              4.400245003024e-010
   8.416502391136e-011              4.374839119850e-010
   8.911590767085e-011              4.350227170525e-010
   9.406679143034e-011              4.343612088883e-010
   9.901767518984e-011              4.445764393928e-010
   1.039685589493e-010              4.395481399929e-010
   1.089194427088e-010              4.501868535719e-010
   1.138703264683e-010              4.565913566655e-010
   1.188212102278e-010              4.462965777109e-010
   1.237720939873e-010              4.357108964319e-010
   1.287229777468e-010              4.457144629317e-010
   1.336738615063e-010              4.392835987533e-010
   1.386247452658e-010              4.482020189490e-010
   1.435756290253e-010              4.510601808060e-010
   1.485265127848e-010              4.570940780598e-010
   1.534773965442e-010              4.564325698956e-010
   1.584282803037e-010              4.688708151778e-010
   1.633791640632e-010              4.613019274605e-010
   1.683300478227e-010              4.681033974786e-010
   1.732809315822e-010              4.500017057173e-010
   1.782318153417e-010              4.596083052924e-010
   1.831826991012e-010              4.560884802059e-010
   1.881335828607e-010              4.653509900913e-010
   1.930844666202e-010              4.702205027214e-010
   1.980353503797e-010              4.704851990262e-010
   2.029862341392e-010              4.737403278078e-010
   2.079371178987e-010              4.770748499744e-010
   2.128880016581e-010              4.710673138055e-010
   2.178388854176e-010              4.633132782335e-010
   2.227897691771e-010              4.697970196468e-010
   2.277406529366e-010              4.584967979035e-010
   2.326915366961e-010              4.545271286576e-010
   2.376424204556e-010              4.541036455830e-010
   2.425933042151e-010              4.548710632821e-010
   2.475441879746e-010              4.592376994526e-010
   2.524950717341e-010              4.446293166276e-010
   2.574459554936e-010              4.574116515995e-010
   2.623968392531e-010              4.538654654282e-010
   2.673477230126e-010              4.522510815798e-010
