# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     1.800e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -5.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.600e+000, 1.725e+000 [nm]
#                      end        -9.250e-001, 5.100e+000 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000              2.10564753679e-008
   4.989614213544e-012              2.05779184047e-008
   9.979228427088e-012              2.03196517235e-008
   1.496884264063e-011              2.01144992169e-008
   1.995845685418e-011              1.97522537177e-008
   2.494807106772e-011              1.94245972181e-008
   2.993768528126e-011              1.91913923305e-008
   3.492729949481e-011              1.86198393524e-008
   3.991691370835e-011              1.85437276125e-008
   4.490652792190e-011              1.81545941168e-008
   4.989614213544e-011              1.74301825117e-008
   5.488575634898e-011              1.77856266960e-008
   5.987537056253e-011              1.72565755400e-008
   6.486498477607e-011              1.67786273628e-008
   6.985459898962e-011              1.62968154259e-008
   7.484421320316e-011              1.60232258215e-008
   7.983382741670e-011              1.56750593124e-008
   8.482344163025e-011              1.48166845509e-008
   8.981305584379e-011              1.49670291057e-008
   9.480267005734e-011              1.46352706663e-008
   9.979228427088e-011              1.44776482811e-008
   1.047818984844e-010              1.40489505187e-008
   1.097715126980e-010              1.33383268464e-008
   1.147611269115e-010              1.29046801780e-008
   1.197507411251e-010              1.25818666749e-008
   1.247403553386e-010              1.20027448092e-008
   1.297299695521e-010              1.18795262758e-008
   1.347195837657e-010              1.14677393044e-008
   1.397091979792e-010              1.11893330646e-008
   1.446988121928e-010              9.82297291011e-009
   1.496884264063e-010              8.27715734466e-009
   1.546780406199e-010              1.04005597854e-008
   1.596676548334e-010              1.00258495247e-008
   1.646572690470e-010              9.82855696320e-009
   1.696468832605e-010              1.66077199212e-008
   1.746364974740e-010              2.32608590612e-008
   1.796261116876e-010              2.33015349905e-008
   1.846157259011e-010              2.32651728202e-008
   1.896053401147e-010              2.34118389183e-008
   1.945949543282e-010              2.32925370218e-008
   1.995845685418e-010              2.33392203321e-008
   2.045741827553e-010              2.32482885453e-008
   2.095637969688e-010              2.30752109662e-008
   2.145534111824e-010              2.30102141450e-008
   2.195430253959e-010              2.31646079176e-008
   2.245326396095e-010              2.33416815271e-008
   2.295222538230e-010              2.33762176495e-008
   2.345118680366e-010              2.32382849788e-008
   2.395014822501e-010              2.32217446386e-008
   2.444910964637e-010              2.32228826622e-008
   2.494807106772e-010              2.32370146847e-008
   2.544703248907e-010              2.31982441967e-008
   2.594599391043e-010              2.32305573043e-008
   2.644495533178e-010              2.31993291879e-008
   2.694391675314e-010              2.31936128642e-008
   2.744287817449e-010              2.28673325683e-008
   2.794183959585e-010              2.31763316224e-008
   2.844080101720e-010              2.31593414381e-008
   2.893976243855e-010              2.31552129821e-008
   2.943872385991e-010              2.31242495619e-008
   2.993768528126e-010              2.30926509947e-008
   3.043664670262e-010              2.31349147917e-008
   3.093560812397e-010              2.31298864923e-008
   3.143456954533e-010              2.30517899177e-008
   3.193353096668e-010              2.30592263797e-008
   3.243249238804e-010              2.30284746236e-008
   3.293145380939e-010              2.30007928484e-008
   3.343041523074e-010              2.29943354681e-008
   3.392937665210e-010              2.29322763572e-008
   3.442833807345e-010              2.29232255113e-008
   3.492729949481e-010              2.28795591496e-008
   3.542626091616e-010              2.30976792941e-008
   3.592522233752e-010              2.29252897393e-008
   3.642418375887e-010              2.26037200143e-008
   3.692314518023e-010              2.23636344183e-008
   3.742210660158e-010              2.24566040720e-008
   3.792106802293e-010              2.24043368637e-008
   3.842002944429e-010              2.22118872986e-008
   3.891899086564e-010              2.17464567601e-008
   3.941795228700e-010              2.16782578424e-008
   3.991691370835e-010              2.06398452449e-008
   4.041587512971e-010              1.94808077347e-008
   4.091483655106e-010              1.81813233265e-008
   4.141379797241e-010              1.80270619796e-008
   4.191275939377e-010              1.73257271783e-008
   4.241172081512e-010              1.63589010529e-008
   4.291068223648e-010              1.59154889981e-008
   4.340964365783e-010              1.40728744437e-008
   4.390860507919e-010              1.38321800617e-008
   4.440756650054e-010              1.30689979686e-008
   4.490652792190e-010              1.26075636155e-008
   4.540548934325e-010              1.28509308564e-008
   4.590445076460e-010              1.26705754470e-008
   4.640341218596e-010              1.21741816434e-008
   4.690237360731e-010              1.20471522275e-008
   4.740133502867e-010              1.18680407511e-008
   4.790029645002e-010              1.18603130766e-008
   4.839925787138e-010              1.16599770503e-008
   4.889821929273e-010              1.16154373614e-008
   4.939718071409e-010              1.17202631457e-008
   4.989614213544e-010              1.15283428182e-008
   5.039510355679e-010              1.13741873808e-008
   5.089406497815e-010              1.14526809223e-008
   5.139302639950e-010              1.08127967560e-008
   5.189198782086e-010              1.08029519763e-008
   5.239094924221e-010              1.09974128921e-008
   5.288991066357e-010              1.25200455892e-008
   5.338887208492e-010              1.26893916792e-008
   5.388783350627e-010              1.27438555413e-008
   5.438679492763e-010              1.27549706151e-008
   5.488575634898e-010              1.27093194188e-008
   5.538471777034e-010              1.26122213091e-008
   5.588367919169e-010              1.33605039619e-008
   5.638264061305e-010              1.25085335484e-008
   5.688160203440e-010              1.17782203166e-008
   5.738056345576e-010              1.17708896091e-008
   5.787952487711e-010              1.16383026563e-008
   5.837848629846e-010              1.08905228799e-008
   5.887744771982e-010              1.04659799346e-008
   5.937640914117e-010              1.02186431795e-008
   5.987537056253e-010              1.00333653801e-008
   6.037433198388e-010              1.16126057157e-008
   6.087329340524e-010              1.22548981997e-008
   6.137225482659e-010              1.22152543845e-008
   6.187121624795e-010              1.11233042845e-008
   6.237017766930e-010              8.54579804308e-009
   6.286913909065e-010              8.29684690412e-009
   6.336810051201e-010              6.33498333049e-009
   6.386706193336e-010              6.89785606848e-009
   6.436602335472e-010              7.47046752159e-009
   6.486498477607e-010              7.21074539844e-009
   6.536394619743e-010              6.33096078401e-009
   6.586290761878e-010              6.89682395447e-009
   6.636186904013e-010              6.58210857666e-009
   6.686083046149e-010              6.70339515266e-009
   6.735979188284e-010              6.69190962800e-009
   6.785875330420e-010              6.43565414257e-009
