# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     1.800e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -5.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.750e+000, -2.575e+000 [nm]
#                      end        1.475e+000, 6.000e-001 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000              1.43987312565e-008
   4.525621504280e-012              1.36811209664e-008
   9.051243008560e-012              1.29145249577e-008
   1.357686451284e-011              1.26631389849e-008
   1.810248601712e-011              1.13359991626e-008
   2.262810752140e-011              1.05462996790e-008
   2.715372902568e-011              1.00928575416e-008
   3.167935052996e-011              8.95496503280e-009
   3.620497203424e-011              8.53862612228e-009
   4.073059353852e-011              8.74888632170e-009
   4.525621504280e-011              8.78284017429e-009
   4.978183654708e-011              8.55140845726e-009
   5.430745805136e-011              8.54301927460e-009
   5.883307955564e-011              8.43827288375e-009
   6.335870105992e-011              8.21160476981e-009
   6.788432256420e-011              8.17336367443e-009
   7.240994406848e-011              8.20173362899e-009
   7.693556557276e-011              8.02593015863e-009
   8.146118707704e-011              8.15692924375e-009
   8.598680858132e-011              8.16582130286e-009
   9.051243008560e-011              7.83009319419e-009
   9.503805158988e-011              8.14118283738e-009
   9.956367309416e-011              8.22740405340e-009
   1.040892945984e-010              8.40135495976e-009
   1.086149161027e-010              8.35445998542e-009
   1.131405376070e-010              8.33874009521e-009
   1.176661591113e-010              8.20816449317e-009
   1.221917806156e-010              8.14859293833e-009
   1.267174021198e-010              7.93515700352e-009
   1.312430236241e-010              8.12768596195e-009
   1.357686451284e-010              8.15182155096e-009
   1.402942666327e-010              8.16362480423e-009
   1.448198881370e-010              8.09754299183e-009
   1.493455096412e-010              8.26847694956e-009
   1.538711311455e-010              8.09738420506e-009
   1.583967526498e-010              8.28750484579e-009
   1.629223741541e-010              8.26694195909e-009
   1.674479956584e-010              8.28724030455e-009
   1.719736171626e-010              8.11305121804e-009
   1.764992386669e-010              8.23981593760e-009
   1.810248601712e-010              8.06628851432e-009
   1.855504816755e-010              8.02698878879e-009
   1.900761031798e-010              8.19128006327e-009
   1.946017246840e-010              8.28607576486e-009
   1.991273461883e-010              7.74151653770e-009
   2.036529676926e-010              8.26493076339e-009
   2.081785891969e-010              8.16322783731e-009
   2.127042107012e-010              8.33921645552e-009
   2.172298322054e-010              8.49742095551e-009
   2.217554537097e-010              8.34929941540e-009
   2.262810752140e-010              8.14396160586e-009
   2.308066967183e-010              8.06340383631e-009
   2.353323182226e-010              8.33183287072e-009
   2.398579397268e-010              8.19887546713e-009
   2.443835612311e-010              8.18016498938e-009
   2.489091827354e-010              7.98319000140e-009
   2.534348042397e-010              8.18265270046e-009
   2.579604257440e-010              8.28708151778e-009
   2.624860472482e-010              7.86836080572e-009
   2.670116687525e-010              8.31066135310e-009
   2.715372902568e-010              8.79829552327e-009
   2.760629117611e-010              8.67478577742e-009
   2.805885332653e-010              8.64212873513e-009
   2.851141547696e-010              8.44753554870e-009
   2.896397762739e-010              8.62201569260e-009
   2.941653977782e-010              8.28348229931e-009
   2.986910192825e-010              8.85839631565e-009
   3.032166407867e-010              8.52287987099e-009
   3.077422622910e-010              8.91047837616e-009
   3.122678837953e-010              8.91540076602e-009
   3.167935052996e-010              8.93837181535e-009
   3.213191268039e-010              8.32016204314e-009
   3.258447483081e-010              8.46701328909e-009
   3.303703698124e-010              8.78045837275e-009
   3.348959913167e-010              8.59047000264e-009
   3.394216128210e-010              8.65046504055e-009
   3.439472343253e-010              9.04610863868e-009
   3.484728558295e-010              8.43610290127e-009
   3.529984773338e-010              8.26868861356e-009
   3.575240988381e-010              8.22438710478e-009
   3.620497203424e-010              9.30207291166e-009
   3.665753418467e-010              8.69415776334e-009
   3.711009633509e-010              8.87300469848e-009
   3.756265848552e-010              8.18310254462e-009
   3.801522063595e-010              8.49861185629e-009
   3.846778278638e-010              8.37454651181e-009
   3.892034493681e-010              7.13855029540e-009
   3.937290708723e-010              7.49118919506e-009
   3.982546923766e-010              7.88712400564e-009
   4.027803138809e-010              8.19257687358e-009
   4.073059353852e-010              7.38040906201e-009
   4.118315568895e-010              7.55084014328e-009
   4.163571783937e-010              7.30278869265e-009
   4.208827998980e-010              7.68832296981e-009
   4.254084214023e-010              6.88875219030e-009
   4.299340429066e-010              7.55690055668e-009
   4.344596644109e-010              7.34428507187e-009
   4.389852859151e-010              7.56161112748e-009
   4.435109074194e-010              7.85809254291e-009
   4.480365289237e-010              7.88347190994e-009
   4.525621504280e-010              8.39312456388e-009
   4.570877719323e-010              7.41311913660e-009
   4.616133934365e-010              7.82757896696e-009
   4.661390149408e-010              7.02959605514e-009
   4.706646364451e-010              9.74056257656e-009
   4.751902579494e-010              1.46190478996e-008
   4.797158794537e-010              1.49763711641e-008
   4.842415009579e-010              1.49192079269e-008
   4.887671224622e-010              1.43884895098e-008
   4.932927439665e-010              1.45956533672e-008
   4.978183654708e-010              8.45843880352e-009
   5.023439869751e-010              8.47413233265e-009
   5.068696084793e-010              8.41516940874e-009
   5.113952299836e-010              8.49998805998e-009
   5.159208514879e-010              8.49826792166e-009
   5.204464729922e-010              8.42787235032e-009
   5.249720944965e-010              8.43425033727e-009
   5.294977160007e-010              8.49847958567e-009
   5.340233375050e-010              8.57551768519e-009
   5.385489590093e-010              8.51531098327e-009
   5.430745805136e-010              8.53595326335e-009
   5.476002020179e-010              8.54389260184e-009
   5.521258235221e-010              8.61878707997e-009
   5.566514450264e-010              8.64474871684e-009
   5.611770665307e-010              8.68468358945e-009
   5.657026880350e-010              8.76058366543e-009
   5.702283095393e-010              9.62613034781e-009
   5.747539310435e-010              9.67577757447e-009
   5.792795525478e-010              9.78991890090e-009
   5.838051740521e-010              9.52154274372e-009
   5.883307955564e-010              9.84051884818e-009
   5.928564170607e-010              9.57920885732e-009
   5.973820385649e-010              9.24379816713e-009
   6.019076600692e-010              9.25875063964e-009
   6.064332815735e-010              9.33123680007e-009
   6.109589030778e-010              9.46609964490e-009
   6.154845245821e-010              9.47546806432e-009
   6.200101460863e-010              9.50082107026e-009
   6.245357675906e-010              9.57468343438e-009
   6.290613890949e-010              9.63094682814e-009
   6.335870105992e-010              9.60286808603e-009
   6.381126321035e-010              9.68930096606e-009
   6.426382536077e-010              9.70184512087e-009
   6.471638751120e-010              9.74453224581e-009
   6.516894966163e-010              9.76136364341e-009
   6.562151181206e-010              9.74717874366e-009
   6.607407396249e-010              9.80989951775e-009
   6.652663611291e-010              9.84612941742e-009
   6.697919826334e-010              9.86536897766e-009
   6.743176041377e-010              9.85248088821e-009
   6.788432256420e-010              9.75210113353e-009
   6.833688471463e-010              9.79039526121e-009
   6.878944686505e-010              9.77022934144e-009
   6.924200901548e-010              9.76438059204e-009
   6.969457116591e-010              9.86849183582e-009
   7.014713331634e-010              9.87092651460e-009
   7.059969546677e-010              9.86769790197e-009
   7.105225761719e-010              9.88751973205e-009
   7.150481976762e-010              1.05810209493e-008
   7.195738191805e-010              1.15300100792e-008
   7.240994406848e-010              1.30922073532e-008
   7.286250621891e-010              1.29231258044e-008
   7.331506836933e-010              1.30120729117e-008
   7.376763051976e-010              1.29552007319e-008
   7.422019267019e-010              1.30545748887e-008
   7.467275482062e-010              1.24983448340e-008
   7.512531697105e-010              1.33473246600e-008
   7.557787912147e-010              1.32738594179e-008
   7.603044127190e-010              1.31068951294e-008
   7.648300342233e-010              1.26505683140e-008
   7.693556557276e-010              1.25891972274e-008
   7.738812772319e-010              1.29059239560e-008
   7.784068987361e-010              1.26296614927e-008
   7.829325202404e-010              1.23343974941e-008
   7.874581417447e-010              1.22799336321e-008
   7.919837632490e-010              1.22505580797e-008
   7.965093847533e-010              1.24191896292e-008
   8.010350062575e-010              1.23450625688e-008
   8.055606277618e-010              1.21086555847e-008
   8.100862492661e-010              1.18159586906e-008
   8.146118707704e-010              1.21583558436e-008
   8.191374922747e-010              1.23634554730e-008
   8.236631137789e-010              1.23451684783e-008
   8.281887352832e-010              1.21643103475e-008
   8.327143567875e-010              1.20356136705e-008
   8.372399782918e-010              1.23110293228e-008
   8.417655997961e-010              1.20831174309e-008
   8.462912213003e-010              1.21199559615e-008
   8.508168428046e-010              1.22938538355e-008
   8.553424643089e-010              1.22984322908e-008
   8.598680858132e-010              1.22529927585e-008
   8.643937073174e-010              1.22967650297e-008
   8.689193288217e-010              1.22101997240e-008
   8.734449503260e-010              1.24976831708e-008
   8.779705718303e-010              1.23549603808e-008
   8.824961933346e-010              1.23420986525e-008
   8.870218148388e-010              1.17626592132e-008
   8.915474363431e-010              8.45719502551e-009
   8.960730578474e-010              8.44742963916e-009
   9.005986793517e-010              8.45700972259e-009
   9.051243008560e-010              8.44893811348e-009
   9.096499223602e-010              8.47389415249e-009
   9.141755438645e-010              8.45589821520e-009
   9.187011653688e-010              8.57490889919e-009
   9.232267868731e-010              8.58009598536e-009
   9.277524083774e-010              8.61100652825e-009
   9.322780298816e-010              8.65342895688e-009
   9.368036513859e-010              8.48323605576e-009
   9.413292728902e-010              7.60768580688e-009
   9.458548943945e-010              7.19280249345e-009
