# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -5.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.375e+000, -9.900e+000 [nm]
#                      end        -7.250e-001, -4.200e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              2.194221340074e-009
   6.074537019395e-012              2.203775062414e-009
   1.214907403879e-011              2.198905549784e-009
   1.822361105818e-011              2.189484253128e-009
   2.429814807758e-011              2.201313867481e-009
   3.037268509697e-011              2.217033757695e-009
   3.644722211637e-011              2.174637690149e-009
   4.252175913576e-011              2.127848470282e-009
   4.859629615516e-011              2.110884802059e-009
   5.467083317455e-011              2.109693901285e-009
   6.074537019395e-011              2.111705252058e-009
   6.681990721334e-011              2.100351998015e-009
   7.289444423274e-011              2.093735830917e-009
   7.896898125213e-011              2.055944579696e-009
   8.504351827153e-011              2.051313247220e-009
   9.111805529092e-011              2.051180976601e-009
   9.719259231032e-011              2.075792925925e-009
   1.032671293297e-010              2.080635922405e-009
   1.093416663491e-010              2.069706151437e-009
   1.154162033685e-010              2.097176262618e-009
   1.214907403879e-010              2.094503248616e-009
   1.275652774073e-010              2.112049186683e-009
   1.336398144267e-010              2.102442587108e-009
   1.397143514461e-010              2.167545162741e-009
   1.457888884655e-010              2.192051357596e-009
   1.518634254849e-010              2.212719998759e-009
   1.579379625043e-010              2.139678084635e-009
   1.640124995237e-010              2.140366264014e-009
   1.700870365431e-010              2.487368233342e-009
   1.761615735625e-010              2.730364868427e-009
   1.822361105818e-010              2.650045279040e-009
   1.883106476012e-010              2.709907891268e-009
   1.943851846206e-010              2.713215897285e-009
   2.004597216400e-010              2.703371117555e-009
   2.065342586594e-010              2.676245096063e-009
   2.126087956788e-010              2.742697359240e-009
   2.186833326982e-010              2.751695327885e-009
   2.247578697176e-010              2.739733287848e-009
   2.308324067370e-010              2.756829381755e-009
   2.369069437564e-010              2.750980787421e-009
   2.429814807758e-010              2.726236412411e-009
   2.490560177952e-010              2.715730124517e-009
   2.551305548146e-010              2.692388469351e-009
   2.612050918340e-010              2.669973018654e-009
   2.672796288534e-010              2.677515390222e-009
   2.733541658728e-010              2.672778303277e-009
   2.794287028922e-010              2.652215416583e-009
   2.855032399116e-010              2.664891842020e-009
   2.915777769310e-010              2.643587898711e-009
   2.976523139504e-010              2.673095876816e-009
   3.037268509697e-010              2.599127603157e-009
   3.098013879891e-010              2.652691776892e-009
   3.158759250085e-010              2.623686675247e-009
   3.219504620279e-010              2.621410783234e-009
   3.280249990473e-010              2.644408348711e-009
   3.340995360667e-010              2.600662593621e-009
   3.401740730861e-010              2.659519607995e-009
   3.462486101055e-010              2.641285490549e-009
   3.523231471249e-010              2.633425545442e-009
   3.583976841443e-010              2.666532586953e-009
   3.644722211637e-010              2.676245096063e-009
   3.705467581831e-010              2.661080959543e-009
   3.766212952025e-010              2.669284994340e-009
   3.826958322219e-010              2.699216300454e-009
   3.887703692413e-010              2.678124021151e-009
   3.948449062607e-010              2.697946006296e-009
   4.009194432801e-010              2.715624214982e-009
   4.069939802995e-010              2.738754206144e-009
   4.130685173189e-010              2.656925987378e-009
   4.191430543383e-010              2.725865961637e-009
   4.252175913576e-010              2.704747321249e-009
   4.312921283770e-010              2.711601668502e-009
   4.373666653964e-010              2.700751135853e-009
   4.434412024158e-010              2.687624866256e-009
   4.495157394352e-010              2.615906123525e-009
   4.555902764546e-010              2.586292390950e-009
   4.616648134740e-010              2.562580285010e-009
   4.677393504934e-010              2.565702988106e-009
   4.738138875128e-010              2.553582316364e-009
   4.798884245322e-010              2.537544852611e-009
   4.859629615516e-010              2.522221929321e-009
   4.920374985710e-010              2.535401231218e-009
   4.981120355904e-010              2.493931368140e-009
   5.041865726098e-010              2.471304253439e-009
   5.102611096292e-010              2.503485090481e-009
   5.163356466486e-010              2.494434244600e-009
   5.224101836680e-010              2.483028113322e-009
   5.284847206874e-010              2.506052194948e-009
   5.345592577068e-010              2.485648095024e-009
   5.406337947262e-010              2.515791065143e-009
   5.467083317455e-010              2.462412194328e-009
   5.527828687649e-010              2.525106607328e-009
   5.588574057843e-010              2.509439594349e-009
   5.649319428037e-010              2.537835910000e-009
   5.710064798231e-010              2.513488656980e-009
   5.770810168425e-010              2.509942470809e-009
   5.831555538619e-010              2.505311138334e-009
   5.892300908813e-010              2.572054458900e-009
   5.953046279007e-010              2.593914155903e-009
   6.013791649201e-010              2.611724790274e-009
   6.074537019395e-010              2.586318907100e-009
   6.135282389589e-010              2.613947805052e-009
   6.196027759783e-010              2.683840344865e-009
   6.256773129977e-010              3.726725488068e-009
