# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     1.800e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.425e+000, -1.000e+001 [nm]
#                      end        1.050e+000, -6.775e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              2.733249081239e-010
   3.246729123287e-012              2.748068662873e-010
   6.493458246574e-012              2.640093659384e-010
   9.740187369861e-012              2.788824450682e-010
   1.298691649315e-011              2.594310657632e-010
   1.623364561644e-011              2.506184000372e-010
   1.948037473972e-011              2.513594566515e-010
   2.272710386301e-011              2.503537037324e-010
   2.597383298630e-011              2.574727472902e-010
   2.922056210958e-011              2.683760021089e-010
   3.246729123287e-011              2.604103025322e-010
   3.571402035616e-011              2.519152103460e-010
   3.896074947944e-011              2.469397881809e-010
   4.220747860273e-011              2.664441997860e-010
   4.545420772602e-011              2.655178402518e-010
   4.870093684931e-011              2.518621780459e-010
   5.194766597259e-011              2.583460745243e-010
   5.519439509588e-011              2.478396315651e-010
   5.844112421917e-011              2.639036114686e-010
   6.168785334245e-011              2.638770953186e-010
   6.493458246574e-011              2.600133356076e-010
   6.818131158903e-011              2.665235931709e-010
   7.142804071231e-011              2.554879126673e-010
   7.467476983560e-011              2.645916357828e-010
   7.792149895889e-011              2.741982353580e-010
   8.116822808218e-011              2.652002667122e-010
   8.441495720546e-011              2.628978585495e-010
   8.766168632875e-011              2.542176185086e-010
   9.090841545204e-011              2.479455411000e-010
   9.415514457532e-011              2.571286576005e-010
   9.740187369861e-011              2.690641814883e-010
   1.006486028219e-010              2.515182434214e-010
   1.038953319452e-010              2.684290344090e-010
   1.071420610685e-010              2.721074912000e-010
   1.103887901918e-010              2.554879126673e-010
   1.136355193150e-010              2.585842546791e-010
   1.168822484383e-010              2.430495123199e-010
   1.201289775616e-010              2.509624897269e-010
   1.233757066849e-010              2.521268743507e-010
   1.266224358082e-010              2.625539239250e-010
   1.298691649315e-010              2.550115523578e-010
   1.331158940548e-010              2.395033261486e-010
   1.363626231781e-010              2.677673711796e-010
   1.396093523013e-010              2.407207430725e-010
   1.428560814246e-010              2.332577648901e-010
   1.461028105479e-010              2.418057343113e-010
   1.493495396712e-010              2.445845027834e-010
   1.525962687945e-010              2.474161484904e-010
   1.558429979178e-010              2.442934453938e-010
   1.590897270411e-010              2.436582983144e-010
   1.623364561644e-010              2.411705872319e-010
   1.655831852876e-010              2.422292173859e-010
   1.688299144109e-010              2.543764052784e-010
   1.720766435342e-010              2.504330971173e-010
   1.753233726575e-010              2.359571399774e-010
   1.785701017808e-010              2.478925088000e-010
   1.818168309041e-010              2.470191815658e-010
   1.850635600274e-010              2.558583634418e-010
   1.883102891506e-010              2.366716804416e-010
   1.915570182739e-010              2.699638698073e-010
   1.948037473972e-010              2.516505140412e-010
   1.980504765205e-010              2.605690893021e-010
   2.012972056438e-010              2.571551737506e-010
   2.045439347671e-010              2.606219665369e-010
   2.077906638904e-010              2.445051093985e-010
   2.110373930137e-010              2.569433546806e-010
   2.142841221369e-010              2.634272511591e-010
   2.175308512602e-010              2.560171502117e-010
   2.207775803835e-010              2.478131154150e-010
   2.240243095068e-010              2.507506706570e-010
   2.272710386301e-010              2.512535471166e-010
   2.305177677534e-010              2.506184000372e-010
   2.337644968767e-010              2.432082990898e-010
   2.370112260000e-010              2.569963869807e-010
   2.402579551232e-010              2.427584549303e-010
   2.435046842465e-010              2.509359735769e-010
   2.467514133698e-010              2.378360650654e-010
   2.499981424931e-010              2.288646125696e-010
   2.532448716164e-010              2.602515157624e-010
   2.564916007397e-010              2.467546403263e-010
   2.597383298630e-010              2.408530136923e-010
   2.629850589862e-010              2.427849710803e-010
   2.662317881095e-010              2.451931337127e-010
   2.694785172328e-010              2.471516072508e-010
   2.727252463561e-010              2.445316255485e-010
   2.759719754794e-010              2.292087022593e-010
   2.792187046027e-010              2.442140520089e-010
   2.824654337260e-010              2.331253392051e-010
   2.857121628493e-010              2.349513870583e-010
   2.889588919725e-010              2.420439144660e-010
   2.922056210958e-010              2.276737117958e-010
   2.954523502191e-010              2.372274341361e-010
   2.986990793424e-010              2.621039247003e-010
   3.019458084657e-010              2.500097691079e-010
   3.051925375890e-010              2.504596132674e-010
   3.084392667123e-010              2.482631146397e-010
   3.116859958356e-010              2.541382251237e-010
   3.149327249588e-010              2.550909457427e-010
   3.181794540821e-010              2.574197149902e-010
   3.214261832054e-010              2.483688691095e-010
   3.246729123287e-010              2.508830963420e-010
