# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.775e+000, -2.150e+000 [nm]
#                      end        -4.400e+000, -3.300e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              6.367772798462e-009
   1.990759905162e-012              6.402361953201e-009
   3.981519810324e-012              6.393337468405e-009
   5.972279715486e-012              6.357160601033e-009
   7.963039620647e-012              6.333660159097e-009
   9.953799525809e-012              6.256119338182e-009
   1.194455943097e-011              6.265672905457e-009
   1.393531933613e-011              6.271680441626e-009
   1.592607924129e-011              6.251408612321e-009
   1.791683914646e-011              6.235212361798e-009
   1.990759905162e-011              6.118027725659e-009
   2.189835895678e-011              6.242860642900e-009
   2.388911886194e-011              6.222826993751e-009
   2.587987876710e-011              6.059620710509e-009
   2.787063867227e-011              5.831364728868e-009
   2.986139857743e-011              5.764409589232e-009
   3.185215848259e-011              5.658975174061e-009
   3.384291838775e-011              6.107759462854e-009
   3.583367829291e-011              6.201946533517e-009
   3.782443819808e-011              6.134144582797e-009
   3.981519810324e-011              6.103287072214e-009
   4.180595800840e-011              6.257310238955e-009
   4.379671791356e-011              6.307328071454e-009
   4.578747781872e-011              6.270066057777e-009
   4.777823772388e-011              6.322174634434e-009
   4.976899762905e-011              6.296609964490e-009
   5.175975753421e-011              6.328658375847e-009
   5.375051743937e-011              6.540347656189e-009
   5.574127734453e-011              6.616459396176e-009
   5.773203724969e-011              6.672855215618e-009
   5.972279715486e-011              6.740868830343e-009
   6.171355706002e-011              6.835108778241e-009
   6.370431696518e-011              7.063126579727e-009
   6.569507687034e-011              6.997362340864e-009
   6.768583677550e-011              7.037667819318e-009
