# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.825e+000, -2.150e+000 [nm]
#                      end        -4.425e+000, -3.425e+000 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000              7.07908465010e-009
   2.045880006256e-012              7.08816201213e-009
   4.091760012513e-012              6.89835878987e-009
   6.137640018769e-012              6.87292654561e-009
   8.183520025026e-012              6.83053047807e-009
   1.022940003128e-011              6.76675107383e-009
   1.227528003754e-011              6.72800710199e-009
   1.432116004380e-011              6.69511172448e-009
   1.636704005005e-011              6.64279148382e-009
   1.841292005631e-011              6.69696428848e-009
   2.045880006256e-011              6.71001131976e-009
   2.250468006882e-011              6.76315185536e-009
   2.455056007508e-011              6.85927088341e-009
   2.659644008133e-011              6.92347361566e-009
   2.864232008759e-011              6.94800617160e-009
   3.068820009385e-011              6.95631596086e-009
   3.273408010010e-011              7.08802958644e-009
   3.477996010636e-011              7.23813611624e-009
   3.682584011262e-011              7.39033323513e-009
   3.887172011887e-011              7.46877389942e-009
   4.091760012513e-011              7.36537719611e-009
   4.296348013139e-011              7.46064925801e-009
   4.500936013764e-011              7.62994247081e-009
   4.705524014390e-011              7.52347594163e-009
   4.910112015016e-011              7.70827722557e-009
   5.114700015641e-011              7.75249934097e-009
   5.319288016267e-011              7.66162043139e-009
   5.523876016892e-011              7.57397013444e-009
   5.728464017518e-011              7.61057048489e-009
   5.933052018144e-011              7.66662221464e-009
   6.137640018769e-011              7.71071190436e-009
   6.342228019395e-011              7.72590255703e-009
   6.546816020021e-011              7.60453658764e-009
   6.751404020646e-011              7.53591418692e-009
   6.955992021272e-011              7.53697281707e-009
   7.160580021898e-011              7.46959419436e-009
   7.365168022523e-011              7.49214191568e-009
   7.569756023149e-011              7.51775961792e-009
   7.774344023775e-011              7.41999984493e-009
   7.978932024400e-011              7.36222797686e-009
   8.183520025026e-011              7.07201863884e-009
   8.388108025652e-011              7.41118717921e-009
   8.592696026277e-011              7.43235869683e-009
   8.797284026903e-011              7.47602505854e-009
   9.001872027529e-011              7.42899781358e-009
   9.206460028154e-011              7.44749647227e-009
   9.411048028780e-011              7.49896974678e-009
   9.615636029405e-011              7.35643225977e-009
   9.820224030031e-011              7.49910217246e-009
   1.002481203066e-010              7.56362247825e-009
   1.022940003128e-010              7.52006202608e-009
   1.043398803191e-010              7.55176634775e-009
   1.063857603253e-010              7.74381894587e-009
   1.084316403316e-010              7.68490905426e-009
   1.104775203378e-010              7.77753477337e-009
   1.125234003441e-010              7.81376451798e-009
   1.145692803504e-010              7.66791886988e-009
   1.166151603566e-010              7.96024531315e-009
   1.186610403629e-010              8.22486346509e-009
