# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     2.000e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.375e+000, -2.025e+000 [nm]
#                      end        -9.000e-001, -9.000e-001 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000              7.463719083875e-009
   1.855060645909e-012              7.630603978973e-009
   3.710121291818e-012              7.431538401898e-009
   5.565181937727e-012              7.456732466002e-009
   7.420242583636e-012              7.375036672921e-009
   9.275303229545e-012              7.425636775264e-009
   1.113036387545e-011              7.569629859356e-009
   1.298542452136e-011              7.337324815085e-009
   1.484048516727e-011              7.331608491371e-009
   1.669554581318e-011              7.338515715859e-009
   1.855060645909e-011              7.232472669758e-009
   2.040566710500e-011              7.221278202484e-009
   2.226072775091e-011              7.155805176077e-009
   2.411578839682e-011              7.166523283041e-009
   2.597084904272e-011              7.099303447100e-009
   2.782590968863e-011              7.030098931601e-009
   2.968097033454e-011              7.097080432322e-009
   3.153603098045e-011              7.050608941060e-009
   3.339109162636e-011              7.112350478376e-009
   3.524615227227e-011              7.058892214176e-009
   3.710121291818e-011              6.995959776086e-009
   3.895627356409e-011              6.975793856317e-009
   4.081133421000e-011              6.908944626215e-009
   4.266639485591e-011              6.958671401324e-009
   4.452145550181e-011              7.015305245856e-009
   4.637651614772e-011              7.057013289088e-009
   4.823157679363e-011              7.000723379181e-009
   5.008663743954e-011              7.062517948797e-009
   5.194169808545e-011              7.267829242196e-009
   5.379675873136e-011              7.336980880460e-009
   5.565181937727e-011              7.383955248182e-009
   5.750688002318e-011              7.388269007117e-009
   5.936194066909e-011              7.309140163439e-009
   6.121700131499e-011              7.323430972724e-009
   6.307206196090e-011              7.198756997317e-009
   6.492712260681e-011              7.244699251035e-009
   6.678218325272e-011              7.074188776380e-009
   6.863724389863e-011              6.879278016406e-009
   7.049230454454e-011              7.280214610244e-009
   7.234736519045e-011              7.377974228163e-009
   7.420242583636e-011              7.312342414986e-009
   7.605748648227e-011              7.309325466359e-009
   7.791254712817e-011              7.286883654577e-009
   7.976760777408e-011              7.398828327312e-009
   8.162266841999e-011              7.274789343919e-009
   8.347772906590e-011              7.251341779218e-009
   8.533278971181e-011              7.194549147917e-009
   8.718785035772e-011              7.127117647971e-009
   8.904291100363e-011              7.214873854456e-009
   9.089797164954e-011              7.232710849912e-009
   9.275303229545e-011              7.131378374607e-009
   9.460809294135e-011              7.083107196576e-009
   9.646315358726e-011              7.039123261331e-009
   9.831821423317e-011              6.983177441114e-009
   1.001732748791e-010              7.026817286669e-009
   1.020283355250e-010              7.073633022686e-009
   1.038833961709e-010              7.004560777807e-009
   1.057384568168e-010              7.035180108236e-009
   1.075935174627e-010              7.015331762006e-009
   1.094485781086e-010              7.030046054366e-009
   1.113036387545e-010              7.076120578703e-009
   1.131586994004e-010              7.106051884818e-009
   1.150137600464e-010              7.210692366140e-009
   1.168688206923e-010              7.142996324955e-009
   1.187238813382e-010              7.221966226798e-009
   1.205789419841e-010              7.191108716215e-009
   1.224340026300e-010              7.340950549706e-009
   1.242890632759e-010              7.506194544806e-009
   1.261441239218e-010              7.566454123959e-009
   1.279991845677e-010              7.638384530695e-009
   1.298542452136e-010              7.648070523655e-009
   1.317093058595e-010              7.623537967715e-009
   1.335643665054e-010              7.664769650638e-009
   1.354194271514e-010              7.593474390981e-009
   1.372744877973e-010              7.560870225930e-009
   1.391295484432e-010              7.527101521190e-009
   1.409846090891e-010              7.593527268216e-009
   1.428396697350e-010              7.184995425576e-009
   1.446947303809e-010              7.444585278109e-009
   1.465497910268e-010              7.402983144412e-009
   1.484048516727e-010              7.330100017057e-009
   1.502599123186e-010              7.189362061747e-009
   1.521149729645e-010              7.176182759851e-009
   1.539700336104e-010              7.128520212749e-009
   1.558250942563e-010              7.052990742607e-009
   1.576801549023e-010              7.013876164927e-009
   1.595352155482e-010              7.011864969220e-009
   1.613902761941e-010              7.032401339763e-009
   1.632453368400e-010              7.033406937617e-009
   1.651003974859e-010              7.013135263378e-009
   1.669554581318e-010              6.956315960862e-009
   1.688105187777e-010              6.914316860240e-009
   1.706655794236e-010              7.080619640559e-009
   1.725206400695e-010              6.672193552389e-009
   1.743757007154e-010              6.483157902898e-009
   1.762307613613e-010              6.618999984493e-009
   1.780858220073e-010              7.028087580828e-009
   1.799408826532e-010              7.156228504086e-009
   1.817959432991e-010              7.163294515344e-009
   1.836510039450e-010              7.168772658903e-009
   1.855060645909e-010              7.144054955109e-009
   1.873611252368e-010              7.290906201058e-009
   1.892161858827e-010              7.359184512087e-009
   1.910712465286e-010              7.249092403356e-009
   1.929263071745e-010              7.311151514212e-009
   1.947813678204e-010              7.397822574393e-009
   1.966364284663e-010              7.226915132813e-009
   1.984914891123e-010              7.328459272124e-009
   2.003465497582e-010              7.543244894478e-009
   2.022016104041e-010              7.690096140427e-009
   2.040566710500e-010              7.752155251283e-009
   2.059117316959e-010              7.601281458853e-009
   2.077667923418e-010              7.615334087984e-009
   2.096218529877e-010              7.710553117586e-009
   2.114769136336e-010              7.524799113027e-009
   2.133319742795e-010              7.512202080975e-009
   2.151870349254e-010              7.587043526803e-009
   2.170420955713e-010              7.521226410706e-009
   2.188971562173e-010              7.503495169719e-009
   2.207522168632e-010              7.416533052148e-009
   2.226072775091e-010              7.285322147963e-009
   2.244623381550e-010              7.245890151809e-009
   2.263173988009e-010              7.208919350587e-009
   2.281724594468e-010              7.114255919614e-009
   2.300275200927e-010              7.124629936888e-009
   2.318825807386e-010              7.107428088511e-009
   2.337376413845e-010              7.144742979423e-009
   2.355927020304e-010              7.186451022655e-009
   2.374477626763e-010              7.055451937540e-009
   2.393028233223e-010              7.084086433345e-009
   2.411578839682e-010              7.106607638512e-009
   2.430129446141e-010              7.171922033215e-009
   2.448680052600e-010              7.188965094822e-009
   2.467230659059e-010              7.233187210222e-009
   2.485781265518e-010              7.248774829816e-009
   2.504331871977e-010              7.289979996589e-009
   2.522882478436e-010              7.315147699608e-009
   2.541433084895e-010              7.369188078587e-009
   2.559983691354e-010              7.439901068399e-009
   2.578534297813e-010              7.400310285475e-009
   2.597084904272e-010              7.484096822714e-009
   2.615635510732e-010              7.467900572191e-009
   2.634186117191e-010              7.516012963451e-009
   2.652736723650e-010              7.552692707283e-009
   2.671287330109e-010              7.542397928329e-009
   2.689837936568e-010              7.489204360434e-009
   2.708388543027e-010              7.558144334693e-009
   2.726939149486e-010              7.688667059499e-009
   2.745489755945e-010              7.686788134411e-009
   2.764040362404e-010              7.612502287212e-009
